aggressor,nodes,victim_vec_bytes,run,ratio,va_same_switch_frac,va_same_cell_frac,va_cross_cell_frac,alloc_span_cells
a2a,16,8,congestion_agtr_a2a_n16_vm8_am1048576_2026-07-01_14-46-20-429085,0.9993,0.000,1.000,0.000,1
a2a,16,8,congestion_agtr_a2a_n16_vm8_am1048576_2026-07-01_14-49-44-916691,0.9949,0.000,1.000,0.000,1
a2a,32,8,congestion_agtr_a2a_n32_vm8_am1048576_2026-07-01_14-50-26-893483,1.0183,0.000,0.449,0.551,3
a2a,64,8,congestion_agtr_a2a_n64_vm8_am1048576_2026-07-01_14-51-04-560750,0.9858,0.000,0.244,0.756,5
a2a,128,8,congestion_agtr_a2a_n128_vm8_am1048576_2026-07-01_14-54-00-030975,0.9933,0.016,0.218,0.766,12
a2a,256,8,congestion_agtr_a2a_n256_vm8_am1048576_2026-07-01_14-54-43-225736,0.9950,0.003,0.059,0.938,20
a2a,16,64,congestion_agtr_a2a_n16_vm64_am1048576_2026-07-01_14-49-50-235751,1.0253,0.000,1.000,0.000,1
a2a,16,64,congestion_agtr_a2a_n16_vm64_am1048576_2026-07-01_14-46-22-754204,0.9732,0.000,1.000,0.000,1
a2a,32,64,congestion_agtr_a2a_n32_vm64_am1048576_2026-07-01_14-50-31-892363,0.9972,0.000,0.473,0.527,3
a2a,64,64,congestion_agtr_a2a_n64_vm64_am1048576_2026-07-01_14-51-11-234449,0.9968,0.000,0.236,0.764,5
a2a,128,64,congestion_agtr_a2a_n128_vm64_am1048576_2026-07-01_14-54-05-182724,0.9915,0.014,0.205,0.781,12
a2a,256,64,congestion_agtr_a2a_n256_vm64_am1048576_2026-07-01_14-54-48-660412,0.9963,0.004,0.060,0.936,20
a2a,16,512,congestion_agtr_a2a_n16_vm512_am1048576_2026-07-01_14-46-25-336510,0.9975,0.000,1.000,0.000,1
a2a,16,512,congestion_agtr_a2a_n16_vm512_am1048576_2026-07-01_14-49-55-521215,1.0045,0.000,1.000,0.000,1
a2a,32,512,congestion_agtr_a2a_n32_vm512_am1048576_2026-07-01_14-50-37-402656,0.9974,0.000,0.473,0.527,3
a2a,64,512,congestion_agtr_a2a_n64_vm512_am1048576_2026-07-01_14-51-16-455347,1.0019,0.000,0.244,0.756,5
a2a,128,512,congestion_agtr_a2a_n128_vm512_am1048576_2026-07-01_14-54-12-085220,0.9932,0.014,0.205,0.781,12
a2a,256,512,congestion_agtr_a2a_n256_vm512_am1048576_2026-07-01_14-54-55-295714,0.9976,0.003,0.060,0.937,20
a2a,16,4096,congestion_agtr_a2a_n16_vm4096_am1048576_2026-07-01_14-50-02-757265,0.9958,0.000,1.000,0.000,1
a2a,16,4096,congestion_agtr_a2a_n16_vm4096_am1048576_2026-07-01_14-46-27-291243,0.9903,0.000,1.000,0.000,1
a2a,32,4096,congestion_agtr_a2a_n32_vm4096_am1048576_2026-07-01_14-50-41-767185,1.0018,0.000,0.473,0.527,3
a2a,64,4096,congestion_agtr_a2a_n64_vm4096_am1048576_2026-07-01_14-51-20-793804,0.9828,0.000,0.244,0.756,5
a2a,128,4096,congestion_agtr_a2a_n128_vm4096_am1048576_2026-07-01_14-54-16-885742,0.9963,0.010,0.142,0.848,13
a2a,256,4096,congestion_agtr_a2a_n256_vm4096_am1048576_2026-07-01_14-55-05-119457,0.9897,0.003,0.060,0.937,20
a2a,16,32768,congestion_agtr_a2a_n16_vm32768_am1048576_2026-07-01_14-50-08-262494,1.0015,0.000,1.000,0.000,1
a2a,32,32768,congestion_agtr_a2a_n32_vm32768_am1048576_2026-07-01_14-50-45-994074,0.9907,0.000,0.473,0.527,3
a2a,128,32768,congestion_agtr_a2a_n128_vm32768_am1048576_2026-07-01_14-54-22-475996,0.9959,0.008,0.125,0.868,16
a2a,16,262144,congestion_agtr_a2a_n16_vm262144_am1048576_2026-07-01_14-50-13-494906,0.9998,0.000,1.000,0.000,1
a2a,64,262144,congestion_agtr_a2a_n64_vm262144_am1048576_2026-07-01_14-51-30-927667,0.9938,0.000,0.230,0.770,5
a2a,256,262144,congestion_agtr_a2a_n256_vm262144_am1048576_2026-07-01_14-55-21-335461,0.9850,0.001,0.055,0.943,20
a2a,16,2097152,congestion_agtr_a2a_n16_vm2097152_am1048576_2026-07-01_14-50-18-349890,1.0041,0.000,1.000,0.000,1
a2a,32,2097152,congestion_agtr_a2a_n32_vm2097152_am1048576_2026-07-01_14-50-55-835503,0.9866,0.000,0.469,0.531,3
a2a,64,2097152,congestion_agtr_a2a_n64_vm2097152_am1048576_2026-07-01_14-51-35-916813,0.9793,0.000,0.230,0.770,5
a2a,128,2097152,congestion_agtr_a2a_n128_vm2097152_am1048576_2026-07-01_14-54-32-485863,1.0017,0.000,0.073,0.927,15
a2a,256,2097152,congestion_agtr_a2a_n256_vm2097152_am1048576_2026-07-01_14-55-26-050638,0.9827,0.001,0.055,0.945,20
a2a,16,16777216,congestion_agtr_a2a_n16_vm16777216_am1048576_2026-07-01_14-50-22-581293,1.0050,0.000,1.000,0.000,1
a2a,32,16777216,congestion_agtr_a2a_n32_vm16777216_am1048576_2026-07-01_14-51-00-458403,0.9967,0.000,0.469,0.531,3
a2a,64,16777216,congestion_agtr_a2a_n64_vm16777216_am1048576_2026-07-01_14-51-41-368987,1.0086,0.000,0.230,0.770,5
a2a,256,16777216,congestion_agtr_a2a_n256_vm16777216_am1048576_2026-07-01_14-55-31-129315,0.9917,0.000,0.054,0.946,20
