aggressor,nodes,victim_vec_bytes,n_reps,ratio_mean,ratio_std,ratio_cv_pct,ratio_min,ratio_max,alloc_nodes,global_overlap_nodes,global_overlap_frac,mean_pairwise_overlap_nodes,mean_pairwise_overlap_frac,mean_span_cells,mean_va_same_switch_frac,mean_va_same_cell_frac,mean_va_cross_cell_frac,ratio_vs_crosscell_r
a2a,16,8,2,0.9971,0.0031,0.3,0.9949,0.9993,16.0,14,0.875,14,0.875,1,0.000,1.000,0.000,
a2a,32,8,1,1.0183,0.0000,0.0,1.0183,1.0183,32,,,,,3,0.000,0.449,0.551,
a2a,64,8,1,0.9858,0.0000,0.0,0.9858,0.9858,64,,,,,5,0.000,0.244,0.756,
a2a,128,8,1,0.9933,0.0000,0.0,0.9933,0.9933,128,,,,,12,0.016,0.218,0.766,
a2a,256,8,1,0.9950,0.0000,0.0,0.9950,0.9950,256,,,,,20,0.003,0.059,0.938,
a2a,16,64,2,0.9992,0.0369,3.7,0.9732,1.0253,16.0,15,0.938,15,0.938,1,0.000,1.000,0.000,
a2a,32,64,1,0.9972,0.0000,0.0,0.9972,0.9972,32,,,,,3,0.000,0.473,0.527,
a2a,64,64,1,0.9968,0.0000,0.0,0.9968,0.9968,64,,,,,5,0.000,0.236,0.764,
a2a,128,64,1,0.9915,0.0000,0.0,0.9915,0.9915,128,,,,,12,0.014,0.205,0.781,
a2a,256,64,1,0.9963,0.0000,0.0,0.9963,0.9963,256,,,,,20,0.004,0.060,0.936,
a2a,16,512,2,1.0010,0.0049,0.5,0.9975,1.0045,16.0,16,1.000,16,1.000,1,0.000,1.000,0.000,
a2a,32,512,1,0.9974,0.0000,0.0,0.9974,0.9974,32,,,,,3,0.000,0.473,0.527,
a2a,64,512,1,1.0019,0.0000,0.0,1.0019,1.0019,64,,,,,5,0.000,0.244,0.756,
a2a,128,512,1,0.9932,0.0000,0.0,0.9932,0.9932,128,,,,,12,0.014,0.205,0.781,
a2a,256,512,1,0.9976,0.0000,0.0,0.9976,0.9976,256,,,,,20,0.003,0.060,0.937,
a2a,16,4096,2,0.9931,0.0039,0.4,0.9903,0.9958,16.0,15,0.938,15,0.938,1,0.000,1.000,0.000,
a2a,32,4096,1,1.0018,0.0000,0.0,1.0018,1.0018,32,,,,,3,0.000,0.473,0.527,
a2a,64,4096,1,0.9828,0.0000,0.0,0.9828,0.9828,64,,,,,5,0.000,0.244,0.756,
a2a,128,4096,1,0.9963,0.0000,0.0,0.9963,0.9963,128,,,,,13,0.010,0.142,0.848,
a2a,256,4096,1,0.9897,0.0000,0.0,0.9897,0.9897,256,,,,,20,0.003,0.060,0.937,
a2a,16,32768,1,1.0015,0.0000,0.0,1.0015,1.0015,16,,,,,1,0.000,1.000,0.000,
a2a,32,32768,1,0.9907,0.0000,0.0,0.9907,0.9907,32,,,,,3,0.000,0.473,0.527,
a2a,128,32768,1,0.9959,0.0000,0.0,0.9959,0.9959,128,,,,,16,0.008,0.125,0.868,
a2a,16,262144,1,0.9998,0.0000,0.0,0.9998,0.9998,16,,,,,1,0.000,1.000,0.000,
a2a,64,262144,1,0.9938,0.0000,0.0,0.9938,0.9938,64,,,,,5,0.000,0.230,0.770,
a2a,256,262144,1,0.9850,0.0000,0.0,0.9850,0.9850,256,,,,,20,0.001,0.055,0.943,
a2a,16,2097152,1,1.0041,0.0000,0.0,1.0041,1.0041,16,,,,,1,0.000,1.000,0.000,
a2a,32,2097152,1,0.9866,0.0000,0.0,0.9866,0.9866,32,,,,,3,0.000,0.469,0.531,
a2a,64,2097152,1,0.9793,0.0000,0.0,0.9793,0.9793,64,,,,,5,0.000,0.230,0.770,
a2a,128,2097152,1,1.0017,0.0000,0.0,1.0017,1.0017,128,,,,,15,0.000,0.073,0.927,
a2a,256,2097152,1,0.9827,0.0000,0.0,0.9827,0.9827,256,,,,,20,0.001,0.055,0.945,
a2a,16,16777216,1,1.0050,0.0000,0.0,1.0050,1.0050,16,,,,,1,0.000,1.000,0.000,
a2a,32,16777216,1,0.9967,0.0000,0.0,0.9967,0.9967,32,,,,,3,0.000,0.469,0.531,
a2a,64,16777216,1,1.0086,0.0000,0.0,1.0086,1.0086,64,,,,,5,0.000,0.230,0.770,
a2a,256,16777216,1,0.9917,0.0000,0.0,0.9917,0.9917,256,,,,,20,0.000,0.054,0.946,
