aggressor,nodes,victim_vec_bytes,run,ratio,va_same_switch_frac,va_same_cell_frac,va_cross_cell_frac,alloc_span_cells
inc,16,8,congestion_agtr_inc_n16_vm8_am1048576_2026-07-01_14-51-47-247583,1.0029,0.000,1.000,0.000,1
inc,32,8,congestion_agtr_inc_n32_vm8_am1048576_2026-07-01_14-52-32-787523,0.9993,0.000,0.445,0.555,3
inc,32,8,congestion_agtr_inc_n32_vm8_am1048576_2026-07-02_15-56-02-679373,0.9921,0.000,0.508,0.492,2
inc,32,8,congestion_agtr_inc_n32_vm8_am1048576_2026-07-02_16-00-12-071688,0.9593,0.000,0.406,0.594,3
inc,32,8,congestion_agtr_inc_n32_vm8_am1048576_2026-07-02_15-56-08-313710,1.0009,0.000,0.469,0.531,3
inc,32,8,congestion_agtr_inc_n32_vm8_am1048576_2026-07-02_15-56-05-835350,0.9906,0.000,0.500,0.500,2
inc,64,8,congestion_agtr_inc_n64_vm8_am1048576_2026-07-02_16-02-27-303080,0.9809,0.000,0.261,0.739,4
inc,64,8,congestion_agtr_inc_n64_vm8_am1048576_2026-07-02_16-02-22-900410,0.9551,0.000,0.256,0.744,4
inc,64,8,congestion_agtr_inc_n64_vm8_am1048576_2026-07-01_14-53-19-071617,0.9884,0.000,0.236,0.764,5
inc,64,8,congestion_agtr_inc_n64_vm8_am1048576_2026-07-02_16-02-25-095585,0.9714,0.000,0.259,0.741,4
inc,64,8,congestion_agtr_inc_n64_vm8_am1048576_2026-07-02_16-02-29-397530,0.9778,0.000,0.261,0.739,4
inc,128,8,congestion_agtr_inc_n128_vm8_am1048576_2026-07-01_14-55-37-567114,0.9911,0.000,0.112,0.888,9
inc,16,64,congestion_agtr_inc_n16_vm64_am1048576_2026-07-01_14-51-52-271400,1.0007,0.000,1.000,0.000,1
inc,32,64,congestion_agtr_inc_n32_vm64_am1048576_2026-07-02_16-00-14-612637,0.9954,0.000,0.406,0.594,3
inc,32,64,congestion_agtr_inc_n32_vm64_am1048576_2026-07-01_14-52-39-010835,0.9961,0.000,0.445,0.555,3
inc,32,64,congestion_agtr_inc_n32_vm64_am1048576_2026-07-02_16-00-16-561435,0.9730,0.000,0.408,0.592,3
inc,32,64,congestion_agtr_inc_n32_vm64_am1048576_2026-07-02_16-00-20-614850,0.9885,0.000,0.408,0.592,3
inc,32,64,congestion_agtr_inc_n32_vm64_am1048576_2026-07-02_16-00-18-578590,0.9872,0.000,0.408,0.592,3
inc,64,64,congestion_agtr_inc_n64_vm64_am1048576_2026-07-02_16-02-36-020486,0.9868,0.000,0.261,0.739,4
inc,64,64,congestion_agtr_inc_n64_vm64_am1048576_2026-07-02_16-02-31-572180,0.9936,0.000,0.261,0.739,4
inc,64,64,congestion_agtr_inc_n64_vm64_am1048576_2026-07-01_14-53-24-023426,1.0128,0.000,0.243,0.757,5
inc,64,64,congestion_agtr_inc_n64_vm64_am1048576_2026-07-02_16-02-33-789602,0.9886,0.000,0.261,0.739,4
inc,64,64,congestion_agtr_inc_n64_vm64_am1048576_2026-07-02_16-02-38-292151,0.9798,0.000,0.261,0.739,4
inc,128,64,congestion_agtr_inc_n128_vm64_am1048576_2026-07-01_14-55-44-017552,1.0107,0.000,0.090,0.910,15
